date,exchange_rate
2016-12-17,7.65
2016-12-16,7.89
2016-12-15,7.75
2016-12-14,8.46
2016-12-13,8.47
2016-12-12,8.45
2016-12-11,8.46
2016-12-10,8.31
2016-12-09,8.64
2016-12-08,8.3
2016-12-07,8.56
2016-12-06,7.8
2016-12-05,6.77
2016-12-04,7.55
2016-12-03,8.1
2016-12-02,7.45
2016-12-01,8.39
2016-11-30,8.64
2016-11-29,8.37
2016-11-28,8.77
2016-11-27,8.91
2016-11-26,9.5
2016-11-25,9.51
2016-11-24,9.4
2016-11-23,9.79
2016-11-22,9.87
2016-11-21,9.6
2016-11-20,9.5
2016-11-19,9.83
2016-11-18,9.52
2016-11-17,9.98
2016-11-16,9.96
2016-11-15,10.4
2016-11-14,10.05
2016-11-13,10.22
2016-11-12,10
2016-11-11,10.26
2016-11-10,10.6
2016-11-09,10.79
2016-11-08,10.91
2016-11-07,11
2016-11-06,10.89
2016-11-05,11.07
2016-11-04,11.11
2016-11-03,10.82
2016-11-02,10.87
2016-11-01,10.7
2016-10-31,11.01
2016-10-30,11.35
2016-10-29,10.36
2016-10-28,11.07
2016-10-27,11.43
2016-10-26,11.5
2016-10-25,11.59
2016-10-24,11.98
2016-10-23,12.05
2016-10-22,12.04
2016-10-21,12
2016-10-20,12.08
2016-10-19,11.93
2016-10-18,12.51
2016-10-17,12
2016-10-16,11.98
2016-10-15,12
